episode,reward,collisions,completion,steps
1,35.32515606842935,0,1,22
2,40.967400910216384,0,0,200
3,23.1160345710814,0,1,5
4,14.841235959087498,0,0,200
5,21.999000549316406,0,1,1
6,18.908577844893443,0,0,200
7,21.011489868164062,0,1,1
8,38.36309671786148,0,0,200
9,22.254965456202626,0,1,9
10,10.06543122381845,0,0,200
11,17.815528365434147,0,0,200
12,61.90386059046432,0,1,72
13,21.05990243330598,0,1,3
14,12.97116857439687,0,0,200
15,1.8000000163447112,0,0,200
16,-0.09923251684085699,0,0,200
17,13.095737246214412,0,0,200
18,0.32199989158834796,0,0,200
19,21.179209072259255,0,1,11
20,14.992889485904016,0,0,200
21,1.8098486110102385,0,0,200
22,0.05972177512012422,0,0,200
23,17.440897078711714,0,0,200
24,24.300064267765265,0,1,11
25,13.919481406512205,0,0,200
26,19.0824713560869,0,0,200
27,6.927724399836734,0,0,200
28,25.711178918369114,0,0,200
29,33.98841804667609,1,0,200
30,-0.05924942315323278,0,0,200
31,35.8652641416993,0,0,200
32,20.999000549316406,0,1,1
33,25.684187330989516,0,0,200
34,17.04875405864732,0,0,200
35,14.858541959081776,0,0,200
36,20.360307973867748,0,0,200
37,20.9993839263916,0,1,1
38,22.048571467399597,0,1,2
39,-1.81631262240262,4,0,200
40,29.33364200592041,0,1,9
41,23.4517065230757,0,1,11
42,41.05135151883587,0,0,200
43,-0.15366919996449724,0,0,200
44,11.846184602414723,0,0,200
45,37.928669185668696,2,0,200
46,29.90079314039758,0,0,200
47,49.367670623003505,4,0,200
48,23.05992555618286,0,1,3
49,22.0201358795166,0,1,1
50,15.958685642108321,0,0,200
51,21.999000549316406,0,1,1
52,-0.16634493247329374,0,0,200
53,23.641726089641452,0,1,14
54,32.09962818445638,0,0,200
55,47.358900367096794,0,0,200
56,28.209936963394284,0,1,9
57,27.14486074447632,0,1,7
58,55.93297274596989,0,0,200
59,22.003204345703125,0,1,1
60,12.273225382727105,0,0,200
61,24.570559393963777,0,1,15
62,21.00157356262207,0,1,1
63,24.177497346594464,0,1,14
64,0.2106999916722998,0,0,200
65,22.022380828857422,0,1,2
66,63.56217896938324,0,1,43
67,22.009584426879883,0,1,1
68,21.007686614990234,0,1,1
69,29.123476028442383,0,1,8
70,20.96363107470097,0,0,200
71,21.999000549316406,0,1,1
72,21.002098083496094,0,1,1
73,26.16517722606659,0,1,6
74,17.821453931625,0,0,200
75,-0.03429897874593735,0,0,200
76,24.103594183921814,0,1,4
77,88.18459989095572,0,0,200
78,20.972919471911155,1,1,31
79,-0.18872847320744768,0,0,200
80,25.217915371991694,7,1,23
81,44.05358691938454,2,0,200
82,52.435022467849194,0,0,200
83,9.483534108439926,0,0,200
84,26.26991762034595,0,1,12
85,0.4879254649858922,0,0,200
86,22.022706985473633,0,1,1
87,34.11203294992447,0,1,14
88,19.693787578609772,0,0,200
89,22.00674057006836,0,1,1
90,7.206620610701066,0,0,200
91,22.367344656959176,0,1,11
92,22.921091213822365,0,1,18
93,7.94564855166027,0,0,200
94,21.649020854616538,0,1,14
95,64.03659232740756,0,1,84
96,22.662932122475468,0,1,13
97,36.366112777846865,0,1,36
98,95.31245501420926,0,0,200
99,22.929127284733113,0,0,200
100,66.65185015510724,5,0,200
101,29.107568860054016,0,1,9
102,82.43425276199218,0,0,200
103,16.372091364930384,0,0,200
104,22.01616096496582,0,1,1
105,49.646445180165756,0,1,50
106,55.40042226208607,0,0,200
107,34.35165318491636,0,1,19
108,9.256930869654752,0,0,200
109,37.51511620951351,0,1,22
110,60.20199451460212,0,0,200
111,10.477387330894999,0,0,200
112,40.86237449548207,0,0,200
113,26.22462780587375,0,1,12
114,21.527817791793495,0,1,24
115,32.45111254916992,0,0,200
116,51.42152154445648,0,1,31
117,26.54937636325485,3,0,200
118,21.999000549316406,0,1,1
119,39.790228797181044,0,0,200
120,20.999000549316406,0,1,1
121,27.04030775690626,0,0,200
122,56.568885156462784,0,1,79
123,32.44725477583415,0,0,200
124,32.175357764353976,0,1,148
125,20.999000549316406,0,1,1
126,-0.0733540877190535,0,0,200
127,24.077603340148926,0,1,4
128,33.269424855709076,0,1,13
129,51.83331634331262,0,1,55
130,23.033743500709534,0,1,3
131,22.36921862885356,0,1,11
132,61.823344502132386,0,0,200
133,20.999000549316406,0,1,1
134,10.985343147625827,0,0,200
135,27.312933802604675,0,1,7
136,33.568216011626646,0,0,200
137,20.999000549316406,0,1,1
138,69.60767699708231,0,1,118
139,52.423167258424655,2,0,200
140,24.673200824603555,0,0,200
141,21.999000549316406,0,1,1
142,13.891310497700033,2,0,200
143,44.73510196455754,0,1,57
144,49.67224223491212,0,0,200
145,59.56869363680016,0,1,185
146,3.0132147021358833,0,0,200
147,21.999000549316406,0,1,1
148,27.619405263569206,0,0,200
149,38.08218636485981,4,0,200
150,54.0816007402027,0,0,200
151,36.464376252144575,0,1,22
152,26.54576864663977,0,1,18
153,31.397971463837166,0,0,200
154,25.442225374143163,4,0,200
155,17.862184793979395,0,0,200
156,25.744732128456235,0,1,17
157,54.9531636381289,0,0,200
158,25.667906645685434,0,1,15
159,26.12079095840454,0,1,6
160,0.5912450310788699,0,0,200
161,26.14465496961202,0,0,200
162,-1.2928319343773182,11,0,200
163,21.999000549316406,0,1,1
164,22.530170142650604,0,1,9
165,69.59270321726945,2,0,200
166,94.34250002197223,0,1,199
167,42.554351868107915,0,1,29
168,25.560807321497123,0,1,24
169,27.381929120456334,0,1,15
170,27.820897525525652,0,1,20
171,22.0290664434433,0,1,2
172,32.52853386144852,2,1,51
173,77.30027897759669,2,0,200
174,30.544215352274477,0,1,31
175,24.23535475716926,0,1,13
176,41.858721220865846,0,1,110
177,26.243564447620884,0,1,9
178,21.395707306386612,0,0,200
179,11.5996803417695,1,0,200
180,67.75312871945789,0,1,83
181,19.999000549316406,1,1,1
182,27.181194245815277,0,1,7
183,20.605006390600465,6,0,200
184,60.80906439432874,0,1,51
185,22.538335007149726,0,1,20
186,22.2139324080199,0,1,8
187,23.04949314548867,0,1,36
188,57.31709499738645,0,1,121
189,11.731991022526927,2,0,200
190,33.54393828648608,0,1,54
191,24.214170003077015,0,1,23
192,64.2462520643603,3,1,147
193,92.90194156393409,3,1,156
194,21.007219314575195,0,1,1
195,57.218630855029915,1,0,200
196,27.49294141480641,3,1,117
197,58.51605642301001,0,0,200
198,93.69554224195599,5,0,200
199,27.068556666374207,0,1,7
200,29.13734382390976,0,1,9
201,24.452118141576648,0,1,13
202,28.147348999977112,0,1,8
203,25.070270657539368,0,1,5
204,37.70962089666864,0,1,96
205,32.430962324142456,0,1,12
206,23.37821233831346,0,1,10
207,73.18232230946887,0,1,87
208,21.006465911865234,0,1,1
209,25.141389349242672,9,1,82
210,26.16042399406433,0,1,6
211,21.003381729125977,0,1,1
212,79.90272065110912,2,0,200
213,40.732756963407155,1,1,70
