episode,reward,collisions,completion,steps
1,19.97800054831896,0,1,22
2,-0.20000000949949026,0,0,200
3,19.995000549126416,0,1,5
4,-0.20000000949949026,0,0,200
5,19.999000549316406,0,1,1
6,-0.20000000949949026,0,0,200
7,19.999000549316406,0,1,1
8,-0.20000000949949026,0,0,200
9,19.991000548936427,0,1,9
10,-0.20000000949949026,0,0,200
11,-0.20000000949949026,0,0,200
12,-0.20000000949949026,0,0,200
13,19.996000549173914,0,1,4
14,-0.20000000949949026,0,0,200
15,-0.20000000949949026,0,0,200
16,-0.20000000949949026,0,0,200
17,-0.20000000949949026,0,0,200
18,-0.20000000949949026,0,0,200
19,-0.20000000949949026,0,0,200
20,-0.20000000949949026,0,0,200
21,-0.20000000949949026,0,0,200
22,-2.1999999369727448,6,0,200
23,-0.20000000949949026,0,0,200
24,-0.20000000949949026,0,0,200
25,-0.20000000949949026,0,0,200
26,-0.20000000949949026,0,0,200
27,-0.20000000949949026,0,0,200
28,-0.20000000949949026,0,0,200
29,-0.20000000949949026,0,0,200
30,-0.20000000949949026,0,0,200
31,-2.1999999369727448,2,0,200
32,-0.20000000949949026,0,0,200
33,19.988000548793934,0,1,12
34,-0.20000000949949026,0,0,200
35,-0.20000000949949026,0,0,200
36,-0.20000000949949026,0,0,200
37,19.999000549316406,0,1,1
38,19.996000549173914,0,1,4
39,-0.20000000949949026,0,0,200
40,19.983000548556447,0,1,17
41,-0.20000000949949026,0,0,200
42,-0.20000000949949026,0,0,200
43,-0.20000000949949026,0,0,200
44,-0.20000000949949026,0,0,200
45,-0.20000000949949026,0,0,200
46,-0.20000000949949026,0,0,200
47,-0.20000000949949026,0,0,200
48,19.99700054922141,0,1,3
49,19.999000549316406,0,1,1
50,-0.20000000949949026,0,0,200
51,19.999000549316406,0,1,1
52,-0.20000000949949026,0,0,200
53,-0.20000000949949026,0,0,200
54,-0.20000000949949026,0,0,200
55,19.98600054869894,0,1,14
56,19.98900054884143,0,1,11
57,19.996000549173914,0,1,4
58,19.99000054888893,0,1,10
59,19.999000549316406,0,1,1
60,-0.20000000949949026,0,0,200
61,-0.20000000949949026,0,0,200
62,19.999000549316406,0,1,1
63,-2.1999999369727448,5,0,200
64,-0.20000000949949026,0,0,200
65,-2.1999999369727448,2,0,200
66,19.987000548746437,0,1,13
67,19.999000549316406,0,1,1
68,19.999000549316406,0,1,1
69,19.99300054903142,0,1,7
70,-0.20000000949949026,0,0,200
71,19.999000549316406,0,1,1
72,19.999000549316406,0,1,1
73,-0.20000000949949026,0,0,200
74,19.992000548983924,0,1,8
75,-0.20000000949949026,0,0,200
76,19.985000548651442,0,1,15
77,19.988000548793934,0,1,12
78,-2.1999999369727448,8,0,200
79,-0.20000000949949026,0,0,200
80,-0.20000000949949026,0,0,200
81,-0.20000000949949026,0,0,200
82,-0.20000000949949026,0,0,200
83,-2.1999999369727448,1,0,200
84,-0.20000000949949026,0,0,200
85,-0.20000000949949026,0,0,200
86,19.999000549316406,0,1,1
87,-2.1999999369727448,2,0,200
88,-0.20000000949949026,0,0,200
89,19.999000549316406,0,1,1
90,-0.20000000949949026,0,0,200
91,19.988000548793934,0,1,12
92,-0.20000000949949026,0,0,200
93,-0.20000000949949026,0,0,200
94,-0.20000000949949026,0,0,200
95,-0.20000000949949026,0,0,200
96,-0.20000000949949026,0,0,200
97,-0.20000000949949026,0,0,200
98,-0.20000000949949026,0,0,200
99,-2.1999999369727448,2,0,200
100,-0.20000000949949026,0,0,200
101,19.99000054888893,0,1,10
102,19.996000549173914,0,1,4
103,-0.20000000949949026,0,0,200
104,19.999000549316406,0,1,1
105,-0.20000000949949026,0,0,200
106,19.992000548983924,0,1,8
107,-0.20000000949949026,0,0,200
108,-0.20000000949949026,0,0,200
109,-0.20000000949949026,0,0,200
110,-0.20000000949949026,0,0,200
111,-0.20000000949949026,0,0,200
112,19.991000548936427,0,1,9
113,-0.20000000949949026,0,0,200
114,19.985000548651442,0,1,15
115,-0.20000000949949026,0,0,200
116,-0.20000000949949026,0,0,200
117,-0.20000000949949026,0,0,200
118,19.999000549316406,0,1,1
119,-0.20000000949949026,0,0,200
120,19.999000549316406,0,1,1
121,-0.20000000949949026,0,0,200
122,-0.20000000949949026,0,0,200
123,-0.20000000949949026,0,0,200
124,-0.20000000949949026,0,0,200
125,19.999000549316406,0,1,1
126,-0.20000000949949026,0,0,200
127,-0.20000000949949026,0,0,200
128,-0.20000000949949026,0,0,200
129,-0.20000000949949026,0,0,200
130,19.995000549126416,0,1,5
131,-2.1999999369727448,3,0,200
132,-0.20000000949949026,0,0,200
133,19.987000548746437,0,1,13
134,-0.20000000949949026,0,0,200
135,-0.20000000949949026,0,0,200
136,-0.20000000949949026,0,0,200
137,19.999000549316406,0,1,1
138,-0.20000000949949026,0,0,200
139,-0.20000000949949026,0,0,200
140,-0.20000000949949026,0,0,200
141,19.999000549316406,0,1,1
142,-0.20000000949949026,0,0,200
143,-0.20000000949949026,0,0,200
144,-0.20000000949949026,0,0,200
145,-0.20000000949949026,0,0,200
146,-0.20000000949949026,0,0,200
147,19.999000549316406,0,1,1
148,-0.20000000949949026,0,0,200
149,-0.20000000949949026,0,0,200
150,-0.20000000949949026,0,0,200
151,-0.20000000949949026,0,0,200
152,-0.20000000949949026,0,0,200
153,-0.20000000949949026,0,0,200
154,-0.20000000949949026,0,0,200
155,-0.20000000949949026,0,0,200
156,-0.20000000949949026,0,0,200
157,-0.20000000949949026,0,0,200
158,-2.1999999369727448,3,0,200
159,-0.20000000949949026,0,0,200
160,-0.20000000949949026,0,0,200
161,-0.20000000949949026,0,0,200
162,-2.1999999369727448,3,0,200
163,19.999000549316406,0,1,1
164,-0.20000000949949026,0,0,200
165,19.99000054888893,0,1,10
166,19.99000054888893,0,1,10
167,19.988000548793934,0,1,12
168,-0.20000000949949026,0,0,200
169,-0.20000000949949026,0,0,200
170,-0.20000000949949026,0,0,200
171,19.99700054922141,0,1,3
172,-0.20000000949949026,0,0,200
173,-0.20000000949949026,0,0,200
174,-0.20000000949949026,0,0,200
175,-0.20000000949949026,0,0,200
176,-2.1999999369727448,12,0,200
177,19.98600054869894,0,1,14
178,17.98900054884143,1,1,11
179,17.986000621225685,4,1,14
180,-0.20000000949949026,0,0,200
181,19.999000549316406,0,1,1
182,-0.20000000949949026,0,0,200
183,-2.1999999369727448,4,0,200
184,-0.20000000949949026,0,0,200
185,19.983000548556447,0,1,17
186,-2.1999999369727448,1,0,200
187,-0.20000000949949026,0,0,200
188,-0.20000000949949026,0,0,200
189,-0.20000000949949026,0,0,200
190,19.991000548936427,0,1,9
191,19.999000549316406,0,1,1
192,19.983000548556447,0,1,17
193,-0.20000000949949026,0,0,200
194,19.999000549316406,0,1,1
195,19.991000548936427,0,1,9
196,-0.20000000949949026,0,0,200
197,-0.20000000949949026,0,0,200
198,19.98900054884143,0,1,11
199,19.996000549173914,0,1,4
200,-0.20000000949949026,0,0,200
201,-0.20000000949949026,0,0,200
202,-0.20000000949949026,0,0,200
203,19.99300054903142,0,1,7
204,-0.20000000949949026,0,0,200
205,-0.20000000949949026,0,0,200
206,-0.20000000949949026,0,0,200
207,-0.20000000949949026,0,0,200
208,19.999000549316406,0,1,1
209,-0.20000000949949026,0,0,200
