episode,reward,collisions,completion,steps
1,21.018312454223633,0,1,1
2,21.85267762094736,0,1,19
3,0.36735646618762985,0,0,200
4,0.5656382982269861,0,0,200
5,-0.05232735478784889,0,0,200
6,21.010557174682617,0,1,1
7,1.6026806884910911,0,0,200
8,-0.18938859459012747,0,0,200
9,0.21802989666321082,0,0,200
10,20.999000549316406,0,1,1
11,-0.07943149417405948,0,0,200
12,0.6081990618258715,0,0,200
13,3.0299627940985374,0,0,200
14,1.1743224197998643,0,0,200
15,1.2716914436314255,0,0,200
16,21.807551382109523,0,1,16
17,1.3636231775744818,0,0,200
18,21.156745340675116,0,1,5
19,1.270530461020826,0,0,200
20,0.40899090660968795,0,0,200
21,0.49730276338596013,0,0,200
22,4.425528570602182,0,0,200
23,23.63142778305337,0,1,163
24,2.3086728828384366,0,0,200
25,3.327293088819715,0,0,200
26,5.972215573885478,0,0,200
27,4.6354734775741235,0,0,200
28,3.129809473459318,0,0,200
29,1.94481260079192,0,0,200
30,2.960876329896564,0,0,200
31,4.214217065076809,0,0,200
32,6.571954042858351,0,0,200
33,4.1644644848274766,0,0,200
34,23.793687828991096,0,1,137
35,21.410683816298842,0,1,14
36,2.590490889910143,0,0,200
37,3.774077983736788,0,0,200
38,26.636621247860603,0,1,164
39,23.328400393358606,0,1,113
40,21.34227968379855,0,1,9
41,2.517538443647936,0,0,200
42,2.6825999813736416,0,0,200
43,4.719126989068172,0,0,200
44,3.1136301969963824,0,0,200
45,24.976701608859003,0,1,158
46,1.4321068536373787,0,0,200
47,4.372304023570905,0,0,200
48,2.4638948418796645,0,0,200
49,5.050577892739966,0,0,200
50,4.124018544098362,0,0,200
51,4.753866686660331,0,0,200
52,2.9437633962224936,0,0,200
53,2.0112890827585943,0,0,200
54,5.292142175429035,0,0,200
55,5.265218450440443,0,0,200
56,5.508644772169646,0,0,200
57,5.709603580049588,0,0,200
58,4.82638259860687,0,0,200
59,23.444972281969967,0,1,67
60,3.291881345503498,0,0,200
61,4.1593776809750125,0,0,200
62,22.04033369384706,0,1,17
63,22.46369409863837,0,1,65
64,2.8633534470573068,0,0,200
65,3.9802937133681553,0,0,200
66,21.99132950231433,0,1,16
67,21.01601219177246,0,1,1
68,21.014265060424805,0,1,1
69,6.257523207459599,0,0,200
70,5.210037841974554,0,0,200
71,21.011552810668945,0,1,1
72,3.1385299532994395,0,0,200
73,3.047235450219887,0,0,200
74,2.683824560896028,0,0,200
75,3.1001381657406455,0,0,200
76,3.8452610769309103,0,0,200
77,3.9408143065520562,0,0,200
78,2.898834570129111,0,0,200
79,3.3950543481623754,0,0,200
80,22.748948200547602,0,1,93
81,24.509643844587117,0,1,181
82,3.3578872282378143,0,0,200
83,3.3066008630557917,0,0,200
84,2.9667645758599974,0,0,200
85,5.2643611512030475,0,0,200
