episode,reward,collisions,completion,steps
1,35.32515606842935,0,1,22
2,40.967400910216384,0,0,200
3,23.1160345710814,0,1,5
4,14.841235959087498,0,0,200
5,21.999000549316406,0,1,1
6,18.908577844893443,0,0,200
7,21.011489868164062,0,1,1
8,38.36309671786148,0,0,200
9,22.254965456202626,0,1,9
10,10.06543122381845,0,0,200
11,17.815528365434147,0,0,200
12,61.90386059046432,0,1,72
13,21.05990243330598,0,1,3
14,12.97116857439687,0,0,200
15,1.8000000163447112,0,0,200
16,-0.09923251684085699,0,0,200
17,13.095737246214412,0,0,200
18,0.32199989158834796,0,0,200
19,21.179209072259255,0,1,11
20,14.992889485904016,0,0,200
21,1.8098486110102385,0,0,200
22,0.05972177512012422,0,0,200
23,17.440897078711714,0,0,200
24,24.300064267765265,0,1,11
25,13.919481406512205,0,0,200
26,19.0824713560869,0,0,200
27,6.927724399836734,0,0,200
28,25.711178918369114,0,0,200
29,33.98841804667609,1,0,200
30,-0.05924942315323278,0,0,200
31,35.8652641416993,0,0,200
32,20.999000549316406,0,1,1
33,25.684187330989516,0,0,200
34,17.04875405864732,0,0,200
35,14.858541959081776,0,0,200
36,20.360307973867748,0,0,200
37,20.9993839263916,0,1,1
38,22.048571467399597,0,1,2
39,-1.81631262240262,4,0,200
40,29.33364200592041,0,1,9
41,23.4517065230757,0,1,11
42,41.05135151883587,0,0,200
43,-0.15366919996449724,0,0,200
44,11.846184602414723,0,0,200
45,37.928669185668696,2,0,200
46,29.90079314039758,0,0,200
47,49.367670623003505,4,0,200
48,23.05992555618286,0,1,3
49,22.0201358795166,0,1,1
50,15.958685642108321,0,0,200
51,21.999000549316406,0,1,1
52,-0.16634493247329374,0,0,200
53,23.641726089641452,0,1,14
54,32.09962818445638,0,0,200
55,47.358900367096794,0,0,200
56,28.209936963394284,0,1,9
57,27.14486074447632,0,1,7
58,55.93297274596989,0,0,200
59,22.003204345703125,0,1,1
60,12.273225382727105,0,0,200
61,24.570559393963777,0,1,15
62,21.00157356262207,0,1,1
63,24.177497346594464,0,1,14
64,0.2106999916722998,0,0,200
65,22.022380828857422,0,1,2
66,63.56217896938324,0,1,43
67,22.009584426879883,0,1,1
68,21.007686614990234,0,1,1
69,29.123476028442383,0,1,8
70,20.96363107470097,0,0,200
71,21.999000549316406,0,1,1
72,21.002098083496094,0,1,1
73,26.16517722606659,0,1,6
74,17.821453931625,0,0,200
75,-0.03429897874593735,0,0,200
76,24.103594183921814,0,1,4
77,88.18459989095572,0,0,200
78,20.972919471911155,1,1,31
79,-0.18872847320744768,0,0,200
80,25.217915371991694,7,1,23
81,44.05358691938454,2,0,200
82,52.435022467849194,0,0,200
83,9.483534108439926,0,0,200
84,26.26991762034595,0,1,12
85,0.4879254649858922,0,0,200
86,22.022706985473633,0,1,1
87,34.11203294992447,0,1,14
