episode,reward,collisions,completion,steps
1,0.09783766930922866,0,0,200
2,-0.19270651665283367,0,0,200
3,-2.1585112299071625,3,0,200
4,0.14434488779806998,0,0,200
5,-0.17883185192476958,0,0,200
6,0.8000000034226105,0,0,200
7,2.619457437423989,6,0,200
8,-0.18855192424962297,0,0,200
9,-0.0934697313932702,0,0,200
10,2.2406038130611705,0,0,200
11,-1.185690633028571,12,0,200
12,1.4161437568727706,0,0,200
13,3.55843485891819,0,0,200
14,3.605536616407335,0,0,200
15,-1.1546120696730213,4,0,200
16,0.30029551566622104,0,0,200
17,0.20652733660972444,0,0,200
18,0.024678835296072066,0,0,200
19,2.3277781682554632,4,0,200
20,0.878858083684463,0,0,200
21,1.0183196124744427,0,0,200
22,7.389490138099063,0,0,200
23,17.169780241150875,0,0,200
24,5.8636208904208615,2,0,200
25,4.270721986988065,0,0,200
26,4.033593824482523,0,0,200
27,-0.20000000949949026,0,0,200
28,-0.14491202600765973,0,0,200
29,-0.20000000949949026,0,0,200
30,0.4598294932402496,0,0,200
31,0.010655473859515041,0,0,200
32,0.5906892997445539,2,0,200
33,0.7160741848565522,0,0,200
34,6.862800376191444,0,0,200
35,9.76767716723407,0,0,200
36,0.8367994770378573,0,0,200
37,8.794249466081965,0,0,200
38,-0.17190813209163025,0,0,200
39,2.5414697504602373,0,0,200
40,-0.18893270840635523,0,0,200
