episode,reward,collisions,completion,steps
1,5.147155515143822,0,0,200
2,2.80759890639456,0,0,200
3,-2.1751114812213928,1,0,200
4,8.945594673103187,0,0,200
5,9.824168670689687,0,0,200
6,-0.20000000949949026,0,0,200
7,-0.02103444767271867,2,0,200
8,-0.1922773040132597,0,0,200
9,1.955482218414545,0,0,200
10,1.4641027129837312,0,0,200
11,6.212385691120289,11,0,200
12,11.618505436403211,0,0,200
13,11.927058144516195,0,0,200
14,1.2844488102709875,0,0,200
15,10.491575661639217,2,0,200
16,0.0020457278478716034,0,0,200
17,16.640718142443802,0,0,200
18,-0.010526173165999353,0,0,200
19,4.84893113518774,3,0,200
20,0.4368812901993806,3,0,200
21,-1.4634110641782172,7,0,200
22,-1.9511149609461427,2,0,200
23,8.416137042222545,0,0,200
24,24.065283675889077,0,0,200
25,6.321925254364032,0,0,200
26,0.7318630707886769,2,0,200
27,10.785556180635467,0,0,200
28,8.123793636797927,0,0,200
29,6.831165054580197,0,0,200
30,16.09903419163311,0,0,200
31,10.112368843751028,0,0,200
32,35.1643499226775,1,0,200
33,25.946602608426474,0,0,200
34,43.87034641293576,0,0,200
35,18.790236888395157,3,0,200
36,9.66166180435539,0,0,200
37,17.13134521257598,0,0,200
38,27.658249422776862,0,0,200
39,38.8284740504896,0,0,200
40,13.568079758544627,0,0,200
41,34.94245073190541,0,0,200
42,1.9141102941939607,3,0,200
43,8.44860742122546,0,0,200
44,13.714632568357047,0,0,200
45,18.164543460166897,0,0,200
46,8.851078948762733,0,0,200
47,22.410884820390493,0,1,21
48,-0.24734219966921955,4,0,200
49,18.32639433471195,0,0,200
50,2.2519208724115742,0,0,200
51,22.083373090368696,0,1,5
52,3.2757911087101093,4,0,200
53,12.30992932152003,0,0,200
